tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
ZNF768,0.9999999999999999,5834,117.40299124156599,117.40299124156597,0.006815452875976198,0.0068154528759761974,1.0000000000000002
E2F5,0.9999999999999999,625,35.42233782947052,35.42233782947052,0.002056329840326862,0.002056329840326862,1.0
ZBTB7C,0.9999999999999999,2103,41.872259297017585,41.872259297017585,0.0024307592765016595,0.0024307592765016595,1.0
ZNF143,0.9999999999999999,5991,105.0398998005246,105.0398998005246,0.006097753384449355,0.006097753384449355,1.0
ELF3,0.9999999999999999,6493,268.6276547213766,268.62765472137653,0.015594314102018843,0.01559431410201884,1.0000000000000002
CEBPD,0.9999999999999999,3140,177.04934917413775,177.04934917413775,0.010278030255087528,0.010278030255087528,1.0
ELK3,0.9999999999999999,3497,74.2005892275094,74.20058922750945,0.004307476444183757,0.00430747644418376,0.9999999999999992
ZNF81,0.9999999999999999,1214,33.14905635723542,33.14905635723542,0.0019243617994447592,0.0019243617994447592,1.0
ZNF785,0.9999999999999999,2811,10.962533278908138,10.962533278908136,0.000636394594154658,0.0006363945941546579,1.0000000000000002
ZNF69,0.9999999999999999,3131,125.0153371355978,125.01533713559785,0.007257363121769291,0.007257363121769294,0.9999999999999997
GABPA,0.9999999999999999,4508,93.60070727627989,93.60070727627988,0.0054336878716057056,0.0054336878716057056,1.0000000000000002
FOXP4,0.9999999999999999,1212,49.89732398625186,49.89732398625186,0.002896628583899446,0.002896628583899446,1.0
TOPORS,0.9999999999999999,1971,97.98440476120874,97.98440476120874,0.005688169323186389,0.005688169323186389,1.0
